IGSN;Parent_IGSN;Sample_name;Waypoint;Geoloc_name;Material;Nature;Class;Class_decontamination;Lithology;Lithology_simp;Pedology_SoilGroup;Pedology_SG_CSCS_2011;Pedology_SG_WRB_2006;X_WGS84;Y_WGS84;Z_Elevation_m;Country;Region;State.Province.Prefecture;City.Township;Catchment;River;Collection_method;Collection_depth_cm;Thickness_cm;Depth_min_cm;Depth_max_cm;LM_Subsoil_PrC;LM_Cropland_PrC;LM_Forest_PrC;Campaign;Field_program;Sampling_date;Collector;Collector_ORCID;Collector_address;Current_archive
IETGC00LG;;FNS_0875;875;;Source;Soil;Cropland;Remediated;Granodiorite (Abukuma Granite);Granodiorite;D6;Allophanic Andosols;Silandic Andosols;140.727451;37.670261;474;Japan;Tohoku;Fukushima;Iitate mura;Niida;Iitoi;Grab;0-2;;;;;;;8.5;TOFU;2015_07_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00LH;;FNS_0876;876;;Source;Soil;Cropland;Remediated;Marine and Non-Marine Sediments;Marine and Non-Marine Sediments;D6;Allophanic Andosols;Silandic Andosols;140.724863;37.668978;470;Japan;Tohoku;Fukushima;Iitate mura;Niida;Iitoi;Grab;0-2;;;;;;;8.5;TOFU;2015_07_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00LI;;FNS_0877;877;;Source;Soil;Cropland;Undecontaminated;Marine and Non-Marine Sediments;Marine and Non-Marine Sediments;D6;Allophanic Andosols;Silandic Andosols;140.743136;37.695783;436;Japan;Tohoku;Fukushima;iitate mura;Niida;Niida;Grab;0-2;;;;;;;8.5;TOFU;2015_07_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00LJ;;FNS_0878;878;;Source;Soil;Cropland;Remediated;Marine and Non-Marine Sediments;Marine and Non-Marine Sediments;D6;Allophanic Andosols;Silandic Andosols;140.725591;37.693873;440;Japan;Tohoku;Fukushima;Iitate mura;Niida;Niida;Grab;0-2;;;;;;;8.5;TOFU;2015_07_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00WW;IETGC00WU;ManoDd_2106_00-01;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;0;1;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00WX;IETGC00WU;ManoDd_2106_01-02;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;1;2;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00WY;IETGC00WU;ManoDd_2106_02-03;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;2;3;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00WZ;IETGC00WU;ManoDd_2106_03-04;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;3;4;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00X0;IETGC00WU;ManoDd_2106_04-05;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;4;5;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00X1;IETGC00WU;ManoDd_2106_05-06;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;5;6;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00X2;IETGC00WU;ManoDd_2106_06-07;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;6;7;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00X3;IETGC00WU;ManoDd_2106_07-08;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;7;8;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00X4;IETGC00WU;ManoDd_2106_08-09;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;8;9;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00X5;IETGC00WU;ManoDd_2106_09-10;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;9;10;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00X6;IETGC00WU;ManoDd_2106_10-11;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;10;11;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00X7;IETGC00WU;ManoDd_2106_11-12;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;11;12;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00X8;IETGC00WU;ManoDd_2106_12-13;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;12;13;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00X9;IETGC00WU;ManoDd_2106_13-14;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;13;14;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XA;IETGC00WU;ManoDd_2106_14-15;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;14;15;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XB;IETGC00WU;ManoDd_2106_15-16;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;15;16;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XC;IETGC00WU;ManoDd_2106_16-17;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;16;17;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XD;IETGC00WU;ManoDd_2106_17-18;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;17;18;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XE;IETGC00WU;ManoDd_2106_18-19;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;18;19;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XF;IETGC00WU;ManoDd_2106_19-20;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;19;20;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XG;IETGC00WU;ManoDd_2106_20-21;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;20;21;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XH;IETGC00WU;ManoDd_2106_21-22;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;21;22;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XI;IETGC00WU;ManoDd_2106_22-23;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;22;23;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XJ;IETGC00WU;ManoDd_2106_23-24;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;23;24;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XK;IETGC00WU;ManoDd_2106_24-25;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;24;25;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XL;IETGC00WU;ManoDd_2106_25-26;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;25;26;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XM;IETGC00WU;ManoDd_2106_26-27;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;26;27;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XN;IETGC00WU;ManoDd_2106_27-28;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;27;28;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XO;IETGC00WU;ManoDd_2106_28-29;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;28;29;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XP;IETGC00WU;ManoDd_2106_29-30;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;29;30;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XQ;IETGC00WU;ManoDd_2106_30-31;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;30;31;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XR;IETGC00WU;ManoDd_2106_31-32;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;31;32;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XS;IETGC00WU;ManoDd_2106_32-33;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;32;33;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XT;IETGC00WU;ManoDd_2106_33-34;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;33;34;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XU;IETGC00WU;ManoDd_2106_34-35;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;34;35;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XV;IETGC00WU;ManoDd_2106_35-36;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;35;36;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XW;IETGC00WU;ManoDd_2106_36-37;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;36;37;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00XX;IETGC00WU;ManoDd_2106_37-38_base;;MDD;Target;Sediment;Target;Target;non-marine sediment;non-marine sediment;Z3;Water;Water;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;Mano;Core collection;4200;1;37;38;;;;;TOFU;2021_06_08;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
